"label","sentence"
"1","a superb 18th century european carved ivory dish. 11½in wide. fine antique 16 september. estimate: £1500-2000 {{mention}} {{url}}"
"1","minton bronze and ivory figures {{mention}}! minton bronze and ivory figurine  {{url}}"
"1","29 mei 2010! official release of the mammoth ivory website!"
"1","an indo-portuguese ivory inlaid cabinet, india, circa 1680 | new york | mallett antiques: {{url}}"
"1","this is a very high quality mammoth ivory carving netsuke a listening to music. this netsuke is carved out of genuine pure mammoth ivory!

{{url}}

#netsuke #sculpture #ivory #mammothivory {{url}}"
"1","a pair of late victorian stained ivory cuff links by child & child c1905. each terminal designed as a heart, collet set with a green stained ivory panel conjoined by belcher links. {{url}}"
"1","star lot: a good japanese shibayama inlaid ivory two-fold table screen (tsuitate), meiji period, inlaid in ivory, red lacquer and mother-of-pearl...

consigned for sale in winchester, sold in wisborough green for £7,600.

{{mention}} {{url}}"
"1","you can buy this wonderful, yet exquisite work of crane and deer  on a wooden plank carefully sculpted with original mammoth ivory.

new year sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #newyearsale #holidayshopping {{url}}"
"1","you can buy this splendid and graceful carving of seven lucky gods on a wooden plank by authentic mammoth ivory.

new year sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #newyearsale #holidayshopping {{url}}"
"1","buddha carving from ivory mammoth {{url}}"
"1","this is a beautiful japanes ivory mei-ji. enjoy it! {{url}}"
"1","look at this mighty yet robust creation of japanese samurai figurines precisely sculpted with original mammoth ivory.

new year sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #newyearsale #holidayshopping {{url}}"
"1","amazing mammoth ivory carving of birds on a flower

this exquisite sculpture is of a bird perking a leaf. 

{{url}}

#mammoth #mammothivory #ivory #mammothivorytusk
#bird #birdsivorycarvingivory #passion #art #beautiful #nature #legalmammothivory #masterpiece {{url}}"
"1","small ivory card case #jeremygreenantiques #cardcase #ivory {{url}}"
"1","you can buy this beautiful work of the dragon and phoenix on a wooden plank carefully sculpted with original mammoth ivory.

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #christmassale #holidayshopping {{url}}"
"1","#letstrove vintage french ivory dining set all with beautiful shell and leaf carvings- a real statement piece for any dining room, which seats up to 10 people when fully extended!
{{url}} 
#vintagediningset #frenchdiningset #frenchhome #frenchinteriors {{url}}"
"1","{{url}} - photoshoot mammoth ivory carvings"
"1","the weird, the wonderful and the macabre. our 20/21 may auction, including the contents of astley townhouse, includes some of the most unusual and bizarre items we have ever seen. featured - a meiji period carved ivory human skull, snake and skeleton netsuke £800-1,200 {{url}}"
"1","our christmas sale includes objects, jewellery, silver and alcohol - starts at 9:30am on wednesday 8th december.

lot no 3 - sixteen indian mughal oval portrait miniatures hand painted onto ivory of temples and figures,

view the catalogue here: {{url}}

#mughal {{url}}"
"1","you can buy this antique carving of lions and rhino handcrafted statue produced using with the finest mammoth ivory.

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #christmassale #holidayshopping {{url}}"
"1","you can buy this wonderful, yet unique work of two squirrels playing with each other.

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #ivoryandart #christmassale #holidayshopping"
"1","the kendall infinity cowl in ivory  {{url}}"
"1","what a beautiful year it has been! we can only say thanks to all our customers!!
wishing you all a great evening with family and friends, and that 2020 may bring you good health and joy!
#ivoryandart #ivorycarving #mammothivory #legalivory #carveivory #netsuke #mammothivorytusk {{url}}"
"1","new item added to the site a rare 18th century mughal anthropomorphic carved ivory cane handle with suspended tongue. {{url}}"
"1","asian art in london soon! ivory shibayama fruit on sale - bulstrodes #lotoftheday {{mention}} {{url}} {{url}}"
"1","museum quality mammoth ivory netsuke of – 5 mice and mask head. amazing art creation on the tiny mammoth ivory tusk scrap.
just imagine that this scene is carved on piece that smaller than a lighter.

{{url}}

#sculpture #ivoryart #ivory #carving #mammothivory {{url}}"
"1","this outstanding netsuke made of 100% genuine mammoth ivory tusk & made out from the best grade of mammoth ivory tusk.

{{url}}

#monkeys #elephant #ivory #collection #tusk {{url}}"
"1","another brilliant selling lot this morning... the large japanese carved ivory figure

{{url}} {{url}}"
"1","meissen porcelain figurine the drummer from meissen monkey band 

offer link: {{url}}

#mammoth #ivory #warriors #tusk #qiang #ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersales {{url}}"
"1","goa ivory, 18th century, 11,5 cm {{url}}"
"1","{{mention}} mammoth ivory facebook is awesom!"
"1","anglo-indian shisham wood & ivory inlaid side table from mysore, attributed to ahmedali & brothers of mysore (awarded a silver medal at the calcutta exhibition of 1884). £1,200: {{url}}"
"1","digging this….
george iii irish silver butter spade marked for dublin 1786 with stained ivory handle by joseph jackson, having the crest of newton of charlton, kent and dunleckny, co. carlow, ireland. {{url}}"
"1","rt {{mention}}: a fine selection of 19th century #chinese and #japanese carved #ivory #figures/items. islamic & oriental 29 july {{mention}}…"
"1","mammoth ivory website under construction!!"
"1","you can buy this enchanting and enthralling masterpiece carving of a pig on a wooden plank by authentic mammoth ivory.

new year sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #newyearsale #holidayshopping {{url}}"
"1","rt {{mention}}: a #victorian #ivory & mercury elliot bros desk thermometer {{url}} #antiques #office #giftideas {{url}}"
"1","chinese carved ivory & wood card cases. {{url}}"
"1","just arrived!! new mammoth ivory carvings  {{url}}"
"1","s/4625 antique treen early 19th century circular trinket box

a good quality and interesting regency period circular trinket box, having a rounded and fitted lid and base with ivory banding that is made up of various different woods throughout. 

{{url}} {{url}}"
"1","our silver collection is approaching 500 products including many pieces of silver cutlery. two examples... edward vii silver ferruled and ivory handled dessert knives and forks & georgian, george iii, silver & mother of pearl dessert knives & forks. {{url}} {{url}}"
"1","excited to share the latest addition to my #etsyvintage shop #vintage #handcarved #ivory #rosebrooch #finejewellery #24ktgold #wellsjewelry #collectible #heirloom #weddingjewelry {{url}} {{url}}"
"1","item of the day - rare pair antique asian ivory & ebony erotic game counters 19h c. {{url}} {{url}}"
"1","nine oval miniature on ivory portrait paintings of prominent colonial-era americans ... - {{url}} {{url}}"
"1","our auction this saturday features a number of beautiful antique wax seals from a single collection. sold in separate lots the seals encompass diverse materials and designs, including a silver owl together with agate, gold and ivory examples. see them in our online catalogue now. {{url}}"
"1","a large 19th century japanese carved and panelled ivory and bone shrine. islamic and oriental 15 september. estimate: £400-600 {{mention}} {{url}}"
"1","19th century hand painted miniature portrait on ivory by olga perin {{url}}"
"1","mammoth ivory masterpiece netsuke – father & son with a fish
the relationship between father and son is a classic and timeless relationship worthy of artistic interpretation.

{{url}}

#masterpiece #sculpture #art {{url}}"
"1","mammoth ivory figurine – two japanese geishas
this is a very high quality mammoth ivory carving of two half naked japanese geishas
this erotic figurine is hand carved by master carver to perfection.

{{url}}

#geisha #art #mammoth #mammothivory #erotic {{url}}"
"1","hand painted on ivory miniature of lady carrington {{mention}} {{url}}"
"1","take a look at this stunning phoenicio-egyptian ivory seated scribe 😲 it is rare and provenanced and has a loop for suspension. view it here: {{url}} {{url}}"
"1","check out this item in my etsy shop {{url}} #prebanivory #ivoryjewelery #vintageivory"
"1","something different: letter opener & magnifying glass set. mammoth ivory inlaid with cocobolo, ebony, & other woods {{url}}"
"1","3 of our fantastic indian ivory miniatures available on our website #ivory #indian #antiques {{url}} {{url}}"
"1","rt {{mention}}: a stianed ivory chess set #antiques from everitt and rogers limited {{url}}  {{mention}} {{url}}"
"1","a victorian ivory cane handle modelled as a greyhound.
{{url}} @ london,… {{url}}"
"1","art deco shagreen and ivory travel desk clock. art deco shagreen and ivory travel desk clock. the sh {{url}}"
"1","in this weeks 'auctioneers mantlepiece' we dip into the difficult world of ivory antiques.  {{url}} #ivory #ivoryban #ukivoryact {{url}}"
"1","mammoth ivory netsuke – lohan riding dragon

this pattern is known in shaolin kungfu as “lohan riding dragon” (“lor hon kea loong”). you can then strike him on his head or chest.

{{url}}
#netsuke #mammoth #mammothivory #ivory #art #artcreation #dragon #asia {{url}}"
"1","mammoth ivory netsuke – the sculpture

this outstanding #netsuke is a proud member of our master pieces netsukes collection. 
#handcarved by master carver. 

{{url}}

#mammoth #mammothivory #ivory #sculpture #netsukemastercollection
#netsuke_art #art #collection {{url}}"
"1","rt {{mention}}: rare 15.5cm wide roman carved ivory relief dating to the 2nd-3rd century ad, depicting a drunken… {{url}}"
"1","rt {{mention}}: this ornate comb was made from elephant ivory in northern italy during the early 15th century. combs, gravoirs and mir…"
"1","some more teapots have made their way into our conservation studio! they have been cleaned and polished using conservation grade methods and materials. careful consideration is taken when working with objects that have natural materials such as wood and ivory components. {{url}}"
"1","an extremely amazing mammoth ivory netsuke of the seven lucky gods(or japans’ seven gods of fortune) in a bottle guard.

{{url}}

#handmade #ivory #sculpture #carving #tusk #art {{url}}"
"1","you can buy this stunning as well as a magnificent statue that features an eagle perched on rock above canyon made of mammoth ivory.

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #christmassale #holidayshopping {{url}}"
"1","an inuit serpentine carving circa 1950s of the improbable narwhal. each sinuous fold has been lovingly and expertly carved. the narwhal's single twisted tusk is  carved from ivory. signed in inuktitut syllabics by the artist.

dimensions: 17"" x 11.5"" x 7""

{{url}} {{url}}"
"1","look at this fascinating and enchanting work padmapani buddha statue carefully sculpted with original mammoth ivory.

new year sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #newyearsale #holidayshopping {{url}}"
"1","rt {{mention}}: #carving #walrustusk #walrusivory #ivory #ivoryskull #handcarved #novascotia #acadian #jamiethibault  #art #inprogre ..."
"1","here is the ivory panel and the information provided in the gallery {{url}}"
"1","look at this illustrious yet overwhelming creation of these mythical figurines of eight deities sculpted with original mammoth ivory.

new year sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #newyearsale #holidayshopping {{url}}"
"1","you can buy this beautiful, yet unique work of meditating seated buddha carefully sculpted with original mammoth ivory.

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #ivoryandart #christmassale #holidayshopping {{url}}"
"1","new pieces of #scrimshaw from judge arrived today & they are fantastic. both large chunks of ancient mammoth ivory. {{url}}"
"1","high quality mammoth ivory carving of kids playing on a relaxed bull laid on a teak wood
{{url}} {{url}}"
"1","this #chinese ivory figure group is one of many oriental ivories in our #auction on tuesday. #antique {{url}}"
"1","{{url}} - great mammoth ivory carving for sale!"
"1","antique legal mammoth ivory carving of fukurokuju

one of the prominent seven lucky gods, #fukurokuju is omnipresent in japanese mythology. handcrafted by #mastercarver.

{{url}}

#mammoth #mammothivory #ivory #carving #japanesegod #sculpture #art  #collection {{url}}"
"1","sold at auction for £600 plus commission, a japanese carved ivory okimono of a seated man from the meiji era. 

#bristol #auction #japanese #ivory #okimono #meiji #antique {{url}}"
"1","this figurine is made of 100% genuine mammoth ivory tusk. the extinct woolly mammoth roamed the earth before 10,000-40,000 years ago. today we can found mammoth ivory tusk in the arctic regions like siberia in russia.
more details: {{url}}
#virgin #malaysianhair {{url}}"
"1","mammoth ivory carvings now online! check it out! {{url}}"
"1","a selection of the fine boxes in our auction on tuesday 11th april winchester {{url}} {{url}}"
"1","rt {{mention}}: a superb 19th century vienna ivory and enamel table casket. 16in tall. fine antique 16 september. estimate: £20,000-30,0…"
"1","ogp the latest from {{mention}}
ogp member's collections
- a modern metal wall sculpture by jon allen
- an original painting by carne griffiths
- a zitan wood & ivory carving buddha statue
- a set of chinese classical styled armchairs and end table
{{url}} {{url}}"
"1","a pair of #ivory africans sculptures, #france 70s
#vintage #modern #vintageshop #deco #decoration #elrastro #madrid #style #instadecor #instaantiques #interior #design #inspiration #interiors #homedecor #antiquesdealersofinstagram #antiqueshop #art {{url}}"
"1","adams brings us 3 wonderfully detailed #scrimshaw new to gallery done on ancient walrus ivory. for sale on website. {{url}}"
"1","octagonal whale ivory sewing stand, 11½"" tall, brought $25,200 (est. $9000/12,000) at {{mention}} {{url}} #antiques #antique #vintage #art #artist #americana #ivory #whale #whales #sewing #folkart {{url}}"
"1","fisherman with boy sculpted in mammoth ivory

buy this wonderful #sculpture @ {{url}}

#ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersales {{url}}"
"1","sculpture of man with baskets in mammoth ivory

offer link: {{url}}

#ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersales {{url}}"
"1","museum quality – mammoth ivory netsuke – three monkeys in boat 

this outstanding netsuke is a proud member of our master pieces netsukes collection, hand carved by master carver.

{{url}}

#art #mammothivory #ivory #monkeys #netsuke #artworks #sculpture {{url}}"
"1","soon! {{url}} (mammoth ivory carving) webshop online!"
"1","coming up in our 1st october fine arts sale: an early 17th century depiction of christ crucified carved in ivory, circa 1600 - 1625.
.
.
finely carved with polychrome painted hair and… {{url}}"
"1","check this amazing mammoth ivory chessboard {{url}}"
"1","buddha carving from ivory elephant (antique) {{url}}"
"1","lovely little signed carved ivory buddha figure #eclectic #antiques #alfiesantiques #london #ivory #buddha {{url}}"
"1","dragon sculpture in mammoth ivory

special offer link: {{url}}

 #mammoth #ivory #warriors #tusk #qiang #ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersales {{url}}"
"1","look at this intricate yet delicate creation of a traditional chinese village with all antique idols with original mammoth ivory.

new year sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #newyearsale #holidayshopping {{url}}"
"1","ogp the latest from {{mention}}
ogp member collections
- avalokiteśvara and lotus：a traditional handmade zitan wood and ivory carving buddha statue
- six ritual jades of chinese zodiac, shang dynasty (1600 – c. 1046 bc)
{{url}}
{{url}} {{url}}"
"1","legal mammoth ivory tusk carving of 3 lucky gods

special offer: {{url}}

#mammoth #ivory #warriors #tusk #qiang #ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersales {{url}}"
"1","prost! who said the ivory doesn't sell anymore? this wonderful german cold painted bronze and ivory figure by ferdinand preiss sold for £12,000. {{url}}"
"1","museum quality mammoth ivory netsuke of samurai carrying bag on his shoulder. where are the samurai going to with his bag hanging on his shoulders, two swords in his belt & a some kid of letter on his right hand.

{{url}}

#netsuke #ivory #mammothivory #art {{url}}"
"1","march estate art, antique, maritime & modern design timed online auction - {{url}} {{url}}"
"1","mammoth ivory carvings figurine of japanese samurai

look at this mighty yet robust creation of japanese samurai figurines on a wooden platform precisely sculpted with original mammoth ivory.

{{url}} {{url}}"
"1","spanish cabinet secrets
fronts in ivory. high 150 cm width 90 cm
#antiques #antiquesinargentina {{url}}"
"1","rt {{mention}}: miniatures painted on ivory. 19th century.
{{url}}
{{mention}} 

1870s naive maritime scene, antiq…"
"1","you can buy this beautiful work of lion king sitting on his den on a wooden plank carefully sculpted with original mammoth ivory.

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #christmassale #holidayshopping {{url}}"
"1","ivory indo-portuguese sculpture – goa, xviith century {{url}}"
"1","mammoth ivory netsuke – 12 zodiac animals set – round stand

this is a very high quality mammoth ivory carving netsukes of 12 chinese zodiac animals set!

check the link: {{url}} {{url}}"
"1","#shagreen #ivory #artdeco #1920s #collectables #modernist #deco #interiors #interiordecoration #homedecor #vintage #jewellery #design #homedecor #home #beautiful #original {{url}}"
"1","you can buy this wonderful chinese philosopher confucius figurine holding a sword carefully sculpted with mammoth ivory.

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #ivoryandart #christmassale #holidayshopping {{url}}"
"1","you can buy this exclusive work of chinese rich man holding a coin carving on mammoth ivory

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #ivoryandart #christmassale #holidayshopping {{url}}"
"1","really amazing piece of art look how the octopus surround the mermaid & it’s looks little beat erotic that the octopus insert his limbs under the mermaid skirt inlay-ed with red gestones & give her a good time.

{{url}}

#sculpture #octopus #mermaid #ivory {{url}}"
"1","a superb 19th century vienna ivory and enamel table casket. 16in tall. fine antique 16 september. estimate: £20,000-30,000 {{mention}} {{url}}"
"1","mammoth ivory netsuke – monkey sitting on horse back

special offer link: {{url}}
.
.
.
 #antique #netsuke #antiquenetsuke #ivorynetsuke #antiqueivory #hare #netsukeivory #ivoryhare #japanantique #石川 #ishikawa #meijiperiod #meijinetsuke #theharewithambereyes {{url}}"
"1","you can buy this 11 faced and 46 hand idol of lord shiva carefully sculpted with original mammoth ivory. 

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #christmassale #holidayshopping {{url}}"
"1","samurai with sword up- mammoth ivory masterpiece

product: {{url}} {{url}}"
"1","you can buy this wonderful, yet unique work of a chinese old man holding chinese bayberry fruit carefully sculpted with mammoth ivory.

new year sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #newyearsale #holidayshopping {{url}}"
"1","lot 375 - a silver presentation trowel with a superbly carved ivory handle- william taylor for st peters church preston. hallmarked for london 1848 by edward, john & william barnard #auction #antique #antiquesilver #silvercollection #silverdealer #churchillauctions {{mention}} {{url}}"
"1","gary williams sent us a fascinating portrait of chief naiche on a piece of fossil walrus ivory. for sale: $1,750.00 {{url}}"
"1","a japanese ivory netsuke, signed mitsuchika. {{url}}
#japanese #ivory #antique #meiji {{url}}"
"1","this fine and unusual 19th-century white marble, ivory and ormolu mantel clock by maple co of paris is coming up for sale in our fine art & antiques online auction this thursday here at dawsons.

estimated to fetch between £500-£700. {{url}}"
"1","magnifying glass ivory  10 cm c.1890 {{url}} via {{mention}}"
"1","each of us is carving a stone, erecting a column, or cutting a piece of stained glass in the construction of something much bigger than ourselves.
buy and get offer: {{url}}

#ivoryandart #decor #homedecor #interior #house #decoration #homesweethome #homedesign {{url}}"
"1","a japanese ivory netsuke, c. 1900, meiji period. #japanese #ivory #netuke #meiji {{url}} {{url}}"
"1","any keen writers will appreciate lot 189 featured in day 1 of our oxford library sale. this striking 18th century italian rosewood & ivory writing slope features finely engraved panels depicting figural & hunting subjects (est:£500 - £800). pre-register at {{url}} {{url}}"
"1","new items in cabinet 124 #astraantiquescentre #victorian #doll #silver #medal #georgian #ivory {{url}}"
"1","mammoth ivory figurine – saint joseph holding baby jesus

special offer: {{url}}

#saint #catholicism #catholic #christianity #joseph #dun #jenna #josh #tyler #jishwa #jennajoseph #tyjo #skeletonclique #clique #joshuadun #regionalatbest #joshler #blurryface {{url}}"
